Time	Quote	Title of book	Author
20:14	When a call came through to Dilworth's home number at fourteen minutes past eight o'clock, Olbier and Jones reacted with far more excitement than the situation warranted because they were desperate for action.	Watchers	Dean Koontz
20:15	Andrey: [Looks at his watch] A quarter past eight. <br>Natasha: And Olga and Irina aren't in yet. The poor things are still at work. Olga at the teachers' council, Irina at the telegraph office...[sighs] I said to your sister this morning, 'Irina, darling, you must take care of yourself.' But she pays no attention. Did you say it was a quarter past eight?	The Three Sisters	Anton Chekhov
20:16	He kissed her hand and after a while went to get two more drinks. When he got back, it was sixteen minutes past eight, and Lois was humming softly along with the jukebox	The Rotters' Club	Jonathan Coe
20:17	20.17 A red warning light failed to go on in the Drive Room, beginning a chain of events which would lead, in a further twenty-three minutes, to the total annihilation of the entire crew of Red Dwarf.	Red Dwarf	Grant Naylor
20:18	2018 hrs Katya has arrived at the Odessa Hotel. Barley and Katya are talking in the canteen. Wicklow and one irregular observing. More.	The Russia House	John le Carré
20:19	All was still. It was nineteen minutes past eight.	The Burglars' Club	Henry Augustus Hering
20:20	Knowing that the dinner was only for us six, we never dreamed it would be a full dress affair. I had no appetite. It was quite twenty minutes past eight before we sat down to dinner.	Diary of a Nobody	George & Weedon Grossmith
20:21	At 8.21, after a knock at the door, a constable said a military police vehicle had just driven into the courtyard, the driver asking for 'Mr.' Murray.	The Ipcress File	Len Deighton
20:22	The mantel clock put the time at twenty-two minutes past eight, and suddenly the night seemed to be a sled on a slope of ice, picking up speed.	Intensity	Dean Koontz
20:23	20.23. In a few minutes she would go down. She could have borrowed some mascara from her daughter Sally, but it was too late. She could have rung her mother in Northam, but it was too late. Seven minutes of solitude she had, and then she would descend.	The Radiant Way	Margaret Drabble
20:24	Peach checked his watch. 8.24. If he wasn't in a taxi in twenty minutes he'd be done for.	Dreams of Leaving	Rupert Thomson
20:25	She sat down in her usual seat and smiled at her husband as he sank into his own chair opposite her. She was saved. It was only five and twenty past eight.	The Listerdale Mystery	Agatha Christie
20:26	It was twenty-six minutes past eight. Without hesitation he went to the cloakroom, and, producing a ticket, was handed a large valise, a rug, and a thick long ulster of dark tweed.	The Temptress	William Le Queux
20:27	At seven-and-twenty minutes past eight Mrs Lofthouse was seated at Aurora's piano, in the first agonies of a prelude in six flats; a prelude which demanded such extraordinary uses of the left hand across the right, and the right over the left, and such exercise of the thumbs in all positions	Aurora Floyd	Mary Elizabeth Braddon
20:28	Still seated, Haver looked up at the clock and said out of the blue: 'My father died exactly twenty-five years ago.' Lindell looked up. 'Exactly?'<br>'Yes, exactly. Twenty-eight minutes past eight, on this exact date twenty-five years ago.'	Stone Coffin	Kjell Eriksson
20:29	At 20.29 this happened: Deputy Fenway: He's lost it! The truck is over! Sliding! Shit! I think he hit something. Dispatcher: Copy that. Dispatcher: Give me a location. Deputy Fenway: Old Montgomery Road.	Life or Death	Michael Robotham
20:30	Alix took up a piece of needlework and began to stitch. Gerald read a few pages of his book. Then he glanced up at the clock and tossed the book away. 'Half-past eight. Time to go down to the cellar and start work.'	The Listerdale Mystery	Agatha Christie
20:31	The time display read 20:31 on the same evening. Almost dusk. The scene was motionless save the soft rustling of leaves, but the rumble of a car engine and the crunch of tires on gravel must have triggered the recording.	None So Blind	Barbara Fradkin
20:32	He slammed home the bolt, laid the rifle back down on the counter, and checked his watch. It was twenty-eight minutes to nine. He was running a little late.	The Goldfish Bowl	Laurence Gough
20:33	20.33 Navigation officer Henri DuBois knocked his black cona coffee with four sugars over his computer console keyboard. As he mopped up the coffee, he noticed three red warning blips on his monitor screen, which he wrongly assumed were the result of his spillage.	Red Dwarf	Grant Naylor
20:34	He wrote: 'Cough (hacking): 20:34 (Duration: 24 seconds).'	The Bells	Richard Harvell
20:35	Left Munich at 8.35 p.m. on 1st May, arriving at Vienna early the next morning	Dracula	Bram Stoker
20:36	20.36 Rimmer stood in the main wash-room on the stasis deck and combed his hair.	Red Dwarf	Grant Naylor
20:37	It is twenty-three minutes to nine and you had better grab Harvie and Shorty and beat it.	Back at School with the Tucker Twins	Nell Speed
20:38	And at twenty-two minutes to nine, at the beginning of the third act, he stood up and, trying not to make too much noise, left the auditorium and walked up to the second floor.	While the Women are Sleeping	Javier Marías
20:39	The clock on the dashboard said 20:39 as Jack turned into a private road. The car was so silent I could hear the hammering of my heart.	The Final Minute	Simon Kernick
20:40	At 2040 hours, June 14, we entered the fog bank. Shortly thereafter, with the seabed only ten fathoms beneath our keel, an explosion ripped the ship's bow, and a roaring torrent of water burst into the forward torpedo compartment, flooding it almost instantly.	Pacific Vortex!	Clive Cussler
20:41	The sergeant smiled. 'Don't know yet. I'll soon find out. What time did Dugdale tell you of his discovery?'<br>'At nineteen minutes to nine,' was the unhesitating answer.	The Barrakee Mystery	Arthur Upfield
20:42	The clock indicated eighteen minutes to nine.<br>The players took up their cards, but could not keep their eyes off the clock. Certainly, however secure they felt, minutes had never seemed so long to them!	Around the World in Eighty Days	Jules Verne
20:43	'Seventeen minutes to nine,' said Thomas Flanagan, as he cut the cards which Ralph handed to him.<br>Then there was a moment of silence. The great saloon was perfectly quiet; but the murmurs of the crowd outside were heard, with now and then a shrill cry. The pendulum beat the seconds, which each player eagerly counted, as he listened, with mathematical regularity.	Around the World in Eighty Days	Jules Verne
20:44	'Sixteen minutes to nine!' said John Sullivan, in a voice which betrayed his emotion.<br>One minute more, and the wager would be won. Andrew Stuart and his partners suspended their game. They left their cards, and counted the seconds.<br>At the fortieth second, nothing. At the fiftieth, still nothing.<br>At the fifty-fifth, a loud cry was heard in the street, followed by applause, hurrahs, and some fierce growls.<br>The players rose from their seats.<br>At the fifty-seventh second the door of the saloon opened; and the pendulum had not beat the sixtieth second when Phileas Fogg appeared, followed by an excited crowd who had forced their way through the club doors, and in his calm voice, said, 'Here I am, gentlemen!'	Around the World in Eighty Days	Jules Verne
20:45	Beaver arrived at quarter to nine in a state of high self-approval; he had refused two invitations for dinner while dressing that evening; he had cashed a cheque for ten pounds at his club; he had booked a Divan table at Espinosa's.	A Handful of Dust	Evelyn Waugh
20:46	At the tone, the time will be eight forty-six, exactly. One cubic mile of seawater contains about 50 pounds of gold.	Macedonia	Tom Lichtenberg
20:47	It read 20:47 on the cooker clock when Fliss heard the jangle of Ben's keys in the door. Somewhere along the line, her husband had stopped making any effort.	All That is Left of Us	Catherine Miller
20:48	It only wants twelve minutes to nine, Constance pointed out. 'Well, what if it does?'	The Old Wives' Tale	Arnold Bennett
20:49	8.49. I took the phone, cleared my throat, and dialled the keep, the packs stronghold on the outskirts of Atlanta. Just keep it professional. Less pathetic that way.	Magic Bleeds	Ilona Andrews
20:50	'That seems very clear,' said Weston, after a moment or two. 'You and your wife were together changing for dinner in your bungalow until ten minutes to nine.	A Caribbean Mystery	Agatha Christie
20:51	We were not too late in taking up our position for as we settled down I could see that it was just nine minutes to nine. Silence fell.	Cold Blood	Leo Bruce
20:52	The waitress brought my coffee. I carried it to the far end of the counter and drank it slowly. It was eight minutes to nine. People were lining up at the loading door, which meant that a bus was expected.	The Far Side of the Dollar	Ross MacDonald
20:53	'Make use of it yourself, with as much noise as you can. And if you still fail to hear from me, then will be the time to think about retirement. Does everybody understand?' Everybody did apparently. 'It is seven minutes to nine. Time we began to collect our taxis.'	Mrs. Fitz	John Collis Snaith
20:54	I tried to restart our dinner-table conversation, which had been about the validity of I.Q. tests, but he was back in his funk again, and I didn't feel like trying to jolly him out of it. I was relieved when the bell squawked at six minutes to nine; now maybe we'd get some action.	Death on Deadline	Robert Goldsborough
20:55	And the past. The clock on the dash said 8:55pm. And the last pink shard of the sun was reaching up into the night sky, desperately trying to hold on for just one more minute.	Such Great Heights	Chris Cole
20:56	'No. 7 berth—a second-class. The gentleman has not yet come, and it is four minutes to nine.'	Murder on the Orient Express	Agatha Christie
20:57	There was something refreshingly direct and simple about this man. He did not enter into long explanations. He simply bore on in the line he had marked out. He rose from the table and never looked back. His attitude seemed to say, 'I am going to Africa; kindly get out of my way.' At three minutes to nine—that is to say, in one hour and a half—Guy Oscard took his seat in the Plymouth express.	With Edged Tools	Henry Seton Merriman
20:58	'What time is it?' she asked, quiet, definite, hopeless. 'Two minutes to nine,' he replied, telling the truth with a struggle.	Sons and Lovers	D. H. Lawrence
20:59	She sat down and wrote out a telegram to her brother, rang for old Sarah, their trusty hard-working maid, and bade her tell the Terror, who had slipped quietly upstairs to bed at one minute to nine, to send it off in the morning.	The Terrible Twins	Edgar Jepson
21:00	This time, the putting on of her best hat at nine o'clock at night with the idea of sallying forth from the castle, down the long drive and then northwards along the acacia avenue, had been enough to send her to her own doorway as though she suspected someone might be there, someone who was listening to her thoughts.	Titus Groan	Mervyn Peake
21:01	On the evening before K.'s thirty-first birthday - it was about nine o'clock, when there is a lull in the streets - two gentlemen came to his apartment.	The Trial	Franz Kafka
21:02	I hurried across the square. Checked my watch. It was two minutes past nine. He kept me waiting the last time.	Pop Goes the Weasel	James Patterson
21:03	The clock showed three minutes past nine. The electric cars to and from the town of Turnhill were rumbling past the very door of the Morfes every five minutes, and would continue to do so till midnight.	Why the Clock Stopped	Arnold Bennett
21:04	At 9.04pm trilobites swim onto the scene, followed more or less immediately by the shapely creatures of the Burgess Shale.	A Short History of Nearly Everything	Bill Bryson
21:05	Nine-five. A voice spoke from the study ceiling: 'Mrs. McClellan, which poem would you like this evening?' The house was silent. The voice said at last, 'Since you express no preference, I shall select a poem at random.'	There Will Come Soft Rains	Ray Bradbury
21:06	The sketch: 1st Voice Over: Well, it's five past nine and nearly time for six past nine.	Monty Python's Flying Circus - The Sketches	Monty Python
21:07	He just rolled up his window, switched off the engine, and leaned down to unlock the trunk. I checked my watch. It was seven minutes past nine.	Even	Andrew Grant
21:08	At exactly eight minutes past nine, this fault already weakened by the preliminary tremor, now without warning shifted violently and slipped a hundred or so feet, sucking down with it some billions of tons of water.	The Poseidon Adventure	Paul Gallico
21:09	9.09. Too late to turn around and go back. Too late, too dangerous.	Dreams of Leaving	Rupert Thomson
21:10	The train was timed to reach Paris at ten minutes past nine in the evening, and a maid was to meet her at the station. They had even settled by letter upon a means of recognition. She was to wear a black hat with a grey feather in it.	His Masterpiece	Emile Zola
21:11	At eleven past nine on Sunday, the Grafters will no longer be a problem.'<br>'I'll begin making the arrangements,' said Rook Thomas quietly. 'I expect we'd better get back to the party, then,' said Bishop Attariwala finally.	Stiletto	Daniel O'Malley
21:12	The crime was reported to us (with almost indecent alacrity, Rog) at 21.12, by Susan Trott - of Black Grouse Cottage - who had been, I quote: 'out looking for hedgehogs when I was horrified to notice the postbox door had fallen off and was just lying there, on the ground'.	Burley Cross Postbox Theft	Nicola Barker
21:13	Now Oberhammer's mansion mouldered: windows boarded, its walls wrapped in chains to keep them from bursting under the weight of his folly above. The clock tower forever displayed thirteen minutes past nine, the time for rats and bats and lunatics, for every ghoul and demon conceived by Deepgate's commoners.	Scar Night	Alan Campbell
21:14	Thorne did go to the meeting. This happened on Monday evening at about quarter past nine.	The Case of the Lamp That Went Out	Auguste Groner
21:15	9.15. Did Roberts pay you yet?	Ulysses	James Joyce
21:16	It is just fifteen or sixteen minutes past nine by my not too accurate watch. The dark night sky trails its skirt of rain low over the surface of the land.	The Box Man	Kobo Abe
21:17	21:17, Sunday Evening, Angbyplan. A man is observed outside the hair salon. He presses his face and hands against the glass, and appears extremely intoxicated.	Let the Right One In	John Ajvide Lindqvist
21:18	The same thing would hold true if there were someone in her apartment. In that case he would just say that he had been passing by, recognized her charming house, and thought to drop in. It was eighteen minutes after nine when Mr. Martin turned into Twelfth Street.	The Catbird Seat	James Thurber
21:19	The first movement of Mendelssohn's accursed violin concerto was about twelve and a half minutes long. The Jew had started playing it at nineteen minutes past nine...	Money, Money, Money	Ed McBain
21:20	His mother sat waiting for him rather anxiously. He had to walk from Keston, so was not home until about twenty past nine.	Sons and Lovers	D. H. Lawrence
21:21	These witnesses could recall with startling accuracy every detail that had occurred between seventeen minutes after eight and twenty-one minutes past nine on the night of September 23 over a year before; but where they had been and what they had done ten minutes earlier or ten minutes later, or where they were at nine o'clock in the evening last Friday they couldn't for the lives of them remember.	The Mucker	Edgar Rice Burroughs
21:22	Fifteen minutes later (21.22 hrs), Miss Squire arrives in Skipton where she is booked into a local B&B. This B&B is located directly across the road from Mhairi Callaghan's Feathercuts.	Burley Cross Postbox Theft	Nicola Barker
21:23	My father met me at the station, the dog jumped up to meet me, missed, and nearly fell in front of the 9.23pm Birmingham express.	The Secret Diary of Adrian Mole Aged 13 3/4	Sue Townsend
21:24	Later in the day I was again for some hours in the house, but was not allowed to see the dying man. From two o'clock in the afternoon, the hour when another paralytic stroke was dreaded, he gradually began to sink. Cécile, his brother Paul, David, Schleinitz, and my father were present, when at twenty-four minutes past nine he expired with a deep sigh.	Fragments of an Autobiography	Felix Moscheles
21:25	9:25 p.m. Aargh. Suddenly main menu is on TV saying Press 6. Realize was using telly remote control by mistake. Now News has come on	Bridget Jones's Diary	Helen Fielding
21:26	Hamil studied his file for a few moments before offering an opinion. 'The terrorists,' he began, 'crossed the border at 21.26 last night. Four passports were presented to the immigration officer for stamping. Three were of Swedish origin, and one was from Iraq.'	Honour Among Thieves	Jeffrey Archer
21:27	When The Thinking Machine had donned those things which he was to wear during his incarceration he called the little old woman who was his housekeeper, cook and maid servant all in one. 'Martha,' he said, 'it is now twenty-seven minutes past nine o'clock. I am going away.	The Thinking Machine	Jacques Futrelle
21:28	From that moment on - 9:28 in the evening, June 18, 1941 - everything was different.	Everything is Illuminated	Jonathan Safran Foer
21:29	At about half past nine Napoleon, wearing an old bowler hat of Mr Jones's, was distinctly seen to emerge from the back door, gallop rapidly round the yard, and disappear indoors again.	Animal Farm	George Orwell
21:30	Forty-eight years old, profoundly asleep at nine thirty on a Friday night - this is modern professional life.	Saturday	Ian McEwan
21:31	I took some juice out of the refrigerator and sat down at the kitchen table with it. On the table was a note from my girlfriend: 'Gone out to eat. Back by 9:30.' The digital clock on the table read 9:30. I watched it flip over to 9:31, ...	A Wild Sheep Chase	Haruki Murakami
21:32	...then to 9:32.	A Wild Sheep Chase	Haruki Murakami
21:33	It must have been about twenty-seven minutes to ten when I reached the summer-house. Ralph was waiting for me.	The Murder of Roger Ackroyd	Agatha Christie
21:34	Thanks; expect me 9.34 p.m. 26th'; which produced, three hours later, a reply: 'Delighted; please bring a No. 3 Rippingille stove' - a perplexing and ominous direction, which somehow chilled me in spite of its subject matter.	The Riddle of the Sands	Erskine Childers
21:35	The Sergeant jotted it down on a piece of paper. 'That checks up with his own story: 9.35 p.m. Budd leaves; the North dame arrives.'	A Blunt Instrument	Georgette Heyer
21:36	My backpack was already packed, and I'd already gotten the other supplies together, like the altimeter and the granola bars and the Swiss army knife I'd dug up in Central Park, so there was nothing else to do. Mom tucked me in at 9:36.	Extremely Loud and Incredibly Close	Jonathan Safran Foer
21:37	What time last night did this happen?'<br>'We received the treble nine call at 21:37 hours,' he answered, checking his notes. 'What made her look in? It's a terrace, was she passing the window?' Tyler asked. 'I presume so.	A Deviant Breed	Stephen Coill
21:38	At nine thirty-eight the waiter came back and offered us a second helping of cheese, salami and sardines, and Mr Yoshogi who had been converting sterling into yen looked extremely puzzled and said he had no idea that British Honduras had so large an export trade	Pig and Pepper	David Footman
21:39	Fletch looked at his watch. It was twenty-one minutes to ten. Instinctively he timed the swiftness of the police.	Confess, Fletch	Gregory Mcdonald
21:40	It was, then, about twenty minutes to ten on the night of the fourth of June, eighteen hundred and eighty-six, that, after disposing of a pint of beer and a Welsh rarebit for my supper, I seated myself in my arm-chair, cocked my feet upon a stool, and lit my pipe, as was my custom.	Cyprian Overbeck Wells. A Literary Mosaic.	Sir Arthur Conan Doyle
21:41	'Say that again, Sergeant,' asked Warren, although he was pretty sure he had heard her correctly the first time. 'A Royal Mail postal delivery van drove past a traffic camera at 21:41 hours, about three quarters of a mile south-west of the sports centre.	No Smoke Without Fire	Paul Gitsham
21:42	Langdon looked at his Mickey Mouse watch. 9:42 P.M.	The Lost Symbol	Dan Brown
21:43	Lloyd asked again if Law would like some water, and this time he nodded, thank God. He stood up. ' I'll get us all some,' he said. 'Chief Inspector Lloyd leaves the room, 21.43 hours,' said Judy.	Picture of Innocence	Jill McGown
21:44	The island fell at sixteen minutes to ten o'clock that January night in 1671, with lots of shouting and screaming and firing of blank musket and arquebus charges, a minimum of rapine and breakage, some.	Stone Flute	Charles Stough
21:45	We must have our lights out by ten, and it is fifteen minutes to ten this moment.'<br>'Oh, bother!' and Dolly wrinkled up her forehead.	Hope Benham	Nora Perry
21:46	It still works, though, and it reads 21:46 military time, giving him at least an hour to get there and back without either of his parents finding out since his dad will be gone until at least midnight and his mom is gone too, in a way, having washed the same old memories down with nearly a bottle of wine.	The Good Boy	Theresa Schwegel
21:47	For Hunter, who was trained to note times exactly, the final emergency started at thirteen minutes to ten.	Elegy for a Revolutionary	C.J. Driver
21:48	'It was twelve minutes to ten. I looked at my watch. I wanted to make sure I didn't knock on her door early.'	The Lincoln Lawyer	Michael Connelly
21:49	'Look at when TIMETRV was linked.' I read the listing. 'May the fifteenth, at eleven minutes to ten. So?'<br>'Now look at when the object file was created.' Gib's eyes gleamed.	Hacker	Malorie Blackman
21:50	I passed out on to the road and saw by the lighted dial of a clock that it was ten minutes to ten. In front of me was a large building which displayed the magical name.	Dubliners	James Joyce
21:51	First, that the moon would be full on April 9; and second, that it would rise at 21:51 hours.	Death and the Dutch Uncle	Patricia Moyes
21:52	Wogan dressed with some ceremony, supped, and at eight minutes to ten slipped down the stairs and out of doors. He had crushed his hat down upon his forehead and he carried his handkerchief at his face. But the streets were dark and few people were abroad.	Clementina	A. E. W. Mason
21:53	It was seven minutes to ten. He was holding the broken pencil in his hand, ready to write, when she touched his wrist lightly, tentatively.	Carrie	Stephen King
21:54	He was making for the Lynn Well Lanby and from there through the Freeman Channel into the Deeps to be met by the pilot vessel in time to catch high water at 21.54 into the Port of St Botolphs.	Lifeboat!	Margaret Dickinson
21:55	At five minutes to ten Mycroft, true to his word, and with Polly behind him, emerged from his laboratory to join us for dinner. Next family dinners are always noisy affairs and tonight was no different.	Lost in a Good Book	Jasper Fforde
21:56	The sound of the Ranigunj Mail rushing past the house at exactly 21:56 hours deafens me so that I miss the first scraping, hesitant knock on the verandah door.	Tamarind Mem	Anita Rau Badami
21:57	In the third to last moment, Bill Smoke's body slides down the cabin door. Second to last, an inset digital clock blinks from 21:57 to ...	Cloud Atlas	David Mitchell
21:58	... to 21:58. Napier's eyes sink, newborn sunshine slants through ancient oaks and dances on a lost river. Look, Joe, herons.	Cloud Atlas	David Mitchell
21:59	The first night, as soon as the corporal had conducted my uncle Toby upstairs, which was about 10 - Mrs. Wadman threw herself into her arm chair	The Life and Opinions of Tristram Shandy, Gentleman	Laurence Sterne
22:00	The clock on the mantelpiece struck ten o'clock. Maxim put his arms round me and lifted me against him. We began to kiss one another, feverishly, desperately, like guilty lovers who have not kissed before.	Rebecca	Daphne du Maurier
22:01	In the old school they use now for the Village Hall, below the clock that has stood always at one minute past ten, hangs a small dusty painting of a horse.	War Horse	Michael Morpurgo
22:02	It was now 10.02pm. He has less than two hours.	The Lost Symbol	Dan Brown
22:03	In other words, on the second of May there will not be a living thing left on earth.' At three minutes past ten that evening the Tsar looked into the eye-piece of the Greenwich Equatorial, and saw a double-winged yellow shape floating in the centre of the field of vision.	The World Peril of 1910	George Chetwynd Griffith
22:04	I had wanted to arrive by 10:04 to see lightning strike the courthouse clock tower in Back to the Future, allowing Marty to return to 1985, but Alex couldn't get a train back from her mother's in time.	10:04	Ben Lerner
22:05	The A-B elevator was our elevator, the elevator on which the paramedics came up at 9:20 p.m., the elevator on which they took John (and me) downstairs to the ambulance at 10:05 p.m.	The Year of Magical Thinking	Joan Didion
22:06	'Let me know as soon as you hear anything.' Quoyle shivered in the chilly kitchen. The clock said six minutes past ten. He could not hear the sea.	The Shipping News	Annie Proulx
22:07	Guerrier darts forward and begins talking nervously in a staccato style. 'I suppose you all want to know what happened tonight?' Silence. True, the question is rhetorical, but there doesn't seem to be any burning desire on the part of the people assembled in this room to hear an explanation. 'At 22:07 hours this evening . . .' He consults his notes. '. . . one of my men patrolling Madame de Medici's estate spotted someone entering the garden furtively. He called out to the intruder to stop.	Murder on the Riviera	Mary-Jane Deeb
22:08	'My watch is always a little fast,' I said. 'What time do you make it now?'<br>'Ten eight.'	The Quiet American	Graham Greene
22:09	I glanced at the clock. The hour was nine minutes past ten. My teeth began to chatter of sheer excitement….	Jonah and Co.	Dornford Yates
22:10	Yes, that's him. I make hot water on the gas, and then, way off, I hear a scream. 'What time was that?'<br>'The kitchen clock says ten minutes past ten.'<br>'What did you do?' She looked surprised.	The Girl at Central	Geraldine Bonner
22:11	Therefore a sergeant called Trifonov had been on post all day or all week and then he had left at eleven minutes past ten in the evening.	The Enemy	Lee Child
22:12	Her interview with Albert was brief. It was not the steward's wish that it should be so, for he could have spoken - and, indeed, endeavoured to speak - at considerable length of his triumphs on the concert platform. But years of experience in the studios of Hollywood had made Lotus Blossom a past-mistress of the art of throttling down people who tried to tell her how good they were. By twelve minutes past ten Albert Peasemarch had delivered Monty's message and vanished into the night.	The Luck of the Bodkins	P. G. Wodehouse
22:13	The keys to one of these vehicles were missing. I checked the logbook and could see it had been signed out at 22:13 by DC Jackson. That was okay, it was black.	Flashes: Part Three	Tim O'Rourke
22:14	The shopping bags looked heavy and impressive, their weight making the Chinese women lean in slightly towards each other. Call it 2214h.	Infinite Jest	David Foster Wallace
22:15	The blaze had started at approximately 10.15 p.m. and had only been fully extinguished by fire crews and emergency service magicians three hours later, by which time the whole building had been gutted.	The Amulet Of Samarkand	Jonathan Stroud
22:16	Nevertheless, when you left me a message, at 22.16 according to Telenor – in other words as soon as you had got in the door – you were obviously pretty excited that you were on the track of something.	The Redbreast	Jo Nesbø
22:17	10:17 p. m. Casette will not go in	Bridget Jones's Diary	Helen Fielding
22:18	'Ten eighteen by mine. You see.' He didn't bother to look.	The Quiet American	Graham Greene
22:19	Bobby looked at his watch. He saw that it was nineteen minutes past ten. He said to the American: 'What is your name?'<br>'Virtue,' the other answered. 'Bertram A. Virtue.'	Comes a Stranger	E. R. Punshon
22:20	At 10:20 she returned with a shopping bag from the supermarket. In the bag were three scrub brushes, one box of paperclips and a well-chilled six-pack of canned beer. So I had another beer. 'It was about sheep,' I said. 'Didn't I tell you?' she said.	A Wild Sheep Chase	Haruki Murakami
22:21	On a Saturday c. 2221h., Lenz found a miniature bird that had fallen out of some nest and was sitting bald and pencil-necked on the lawn of Unit #3 flapping ineffectually...	Infinite Jest	David Foster Wallace
22:22	It was now just twenty-two minutes past ten. They had been absent from the platoon for less than half an hour but, with the inferno raging at the company stores, both men were keenly aware that they had to get back to their men without delay.	Darkest Hour	James Holland
22:23	The mask leered at him out of a dark case. He hurried on to the next station, where he turned a key in a box. The box recorded the time: 10:23 P.M.	Relic	Douglas Preston & Lincoln Child
22:24	Nevertheless, I love her. I loved her from the first moment I beheld her; and that was at an evening-party in Mayfair, at precisely twenty-four minutes past ten o'clock on Thursday evening, the twenty-fourth of December, eighteen hundred and sixty-two.	Miss Carew	Amelia B. Edwards
22:25	10:25 p. m. Got new cassette in now. Right. Turn to Recording.................. Aargh Newsnight is starting	Bridget Jones's Diary	Helen Fielding
22:26	Fletch sat down. It was twenty-six minutes past ten. He remained waiting in the den. A young, uniformed policeman waited with him, standing at parade rest, carefully keeping his eyes averted from Fletch.	Confess, Fletch	Gregory Mcdonald
22:27	The 22.27 hours Sunday night virtual was centred on Water Street, with the Tyne bordering one side of the theatre, and Scotswood Road the other.	Great North Road	Peter F. Hamilton
22:28	On Tuesday night, at twenty-eight minutes past ten o'clock, the Associated Press calls New York City's most closely contested mayoral race in decades for Councilman O'Malley.	The Hazards of Hunting While Heartbroken	Mari Passananti
22:29	On 4 October 1957 at 22.29 hours and 34 seconds they fired an aluminium sphere into orbit, just over 84 kilos in weight and with four antennae that broadcast a series of now legendary beeps as a radio signal on 15 and 7.5 metre wavelengths, all across the world: Sputnik 1 took the world's breath away!	Limit	Frank Schätzing
22:30	The lights-out at 22:30 signals that everyone not on the night shift should be in bed.	Mockingjay	Suzanne Collins
22:31	And, later on, at 10.31 pm, I went out onto the balcony to find out whether I could see any stars, but there weren't any because of all the clouds and what is called Light Pollution...	The Curious Incident of the Dog in the Night-time	Mark Haddon
22:32	At 22:32 exactly, he saw a shape emerging through the snow in the distance.	Endgame	Chris Ryan
22:33	10:33 p.m. Yessss, yessss. RECORDING CURRENT PROGRAMME. Have done it. Aargh. All going mad. Cassette has started rewinding and now stopped and ejected. Why? Shit. Shit. Realize in excitement have sat on remote control.	Bridget Jones's Diary	Helen Fielding
22:34	He looked around. The bedside clock glowed 10:34 in red letters. Jesus, only 10:30? His plane left at six in the morning, and around eight he'd knocked back two fingers of gin and crawled into bed, desperate for a little sleep.	Brimstone	Douglas Preston
22:35	10:35 p.m. Frantic now. Have rung Sahzzer, Rebecca, Simon, Magda. Nobody knows how to programme their videos. Only person I know who knows how to do it is Daniel.	Bridget Jones's Diary	Helen Fielding
22:36	Our take-off time was 22.36 and as I lifted the heavy plane into the starlit night my hands and stomach felt as cold as ice.	Air Bridge	Hammond Innes
22:37	'This is what we've got so far: Henrietta Hatchett, aka Goldilocks and 'Friend to Bears', was talking to Stanley Cripps the Monday before last about cucumbers. At 10.37 p.m. that night a fireball rips through Obscurity, killing Cripps but not before he's called Goldilocks and left a message about something being ''full of holes''.'	The Fourth Bear	Jasper Fforde
22:38	He turned, strolled back along the boardwalk and returned to his car. A quick look at his watch: 22.38 hrs.	Who Dares Wins	Chris Ryan
22:39	I was just a tad underwhelmed. My watch read 22:39 – prime drinking time, even in a place as remote as this, yet ours was the only vehicle out front.	Looking for Mrs Dextrose	Nick Griffiths
22:40	The station clock told him the time: twenty to eleven. He went to the booking office and asked the clerk in a polite tone when was the next train to Paris. 'In twelve minutes.'	The Man Who Watched the Trains Go By	Georges Simenon
22:41	He climbed into the front seat and started the car. It started with a merry powerful hum, ready to go. 'There, the bastards', said Julian, and smashed the clock with the bottom of the bottle, to give them an approximate time. It was 10:41	Appointment in Samarra	John O'Hara
22:42	'We have established the exact time that Janisohn fell to the stage, the knife in his neck. It was eighteen minutes to eleven.	West of Guam: The Complete Cases of Jo Gar	Raoul Whitfield
22:43	In this case, we've got Marcus's car arriving at the airport at 22:43 hours, but with the tinted windows, you can't tell who's driving.	Reining in Murder	Leigh Hearon
22:44	Alec pricked up his ears. 'When was that?'<br>'Oh, yesterday evening.'<br>'What time?'<br>'About a quarter to eleven. I was playing bridge.'	Dead in the Water	Carola Dunn
22:45	He clears his throat. 'It's 22.45 on Thursday the second of January 2014 and we're in interview room three at Bristol police station.	I Let You Go	Clare Mackintosh
22:46	The 'night train' tallied to perfection, for high tide in the creek would be, as Davies estimated, between 10.30 and 11.00 p.m.on the night of the 25th; and the time-table showed that the only night train arriving at Norden was one from the south at 10.46 p.m.	The Riddle of the Sands	Erskine Childers
22:47	To his surprise he seemed to detect a slight droop of that gentleman's left eye. Was it possible that the doping had failed, and that the victims were only shamming? . . . The clock was at thirteen minutes to eleven.	The House of the Four Winds	John Buchan
22:48	In the final twenty-seven seconds we will see modern history disappear with increased rapidity, until at 22.48 and nine seconds, the end of history will catch up with us and there will be nothing left at all, nor any evidence that there ever was – to all intents and purposes, we won't ever have existed.'<br>'So what's the cause?'<br>'I've no idea, but I'm going to have a good look around.	First Among Sequels	Jasper Fforde
22:49	I looked at my watch. It was eleven minutes to eleven, and thinking of it that way made it more memorable than 10:49.	The Burglar in the Closet	Lawrence Block
22:50	Saturday night. And I said,'It's a hundred this year, ain't anybody noticed?' Jack said, 'What's a hundred?' I said, 'Pub is. Coach is. Look at the clock.' Jack said, 'It's ten to eleven'	Last Orders	Graham Swift
